,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,METAL
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,17.5
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,17.61
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,13.75
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,13.74
312,1070,134,1,5,9,8047,P,1930,1919 - 1945,5.77
313,1326,134,6,5,3,8055,P,1933,1919 - 1945,4.97
314,1347,132,6,5,3,8055,P,1933,1919 - 1945,5.05
315,1330,137,6,5,3,8055,P,1934,1919 - 1945,4.98
316,1335,140,6,5,3,8055,P,1934,1919 - 1945,5.0
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,6.51
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,6.51
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,6.51
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,6.51
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,9.33
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,5.76
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,7.25
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,9.33
326,863,104,2,4,9,8048,P,1914,1900 - 1919,9.0
327,698,79,1,4,10,8049,P,1933,1919 - 1945,115.38
328,1737,154,6,5,2,8038,P,1950,1946 - 1960,14.09
329,1760,156,6,5,2,8038,P,1950,1946 - 1960,14.28
330,1754,155,6,5,2,8038,P,1950,1946 - 1960,14.23
331,1743,154,6,5,2,8038,P,1950,1946 - 1960,14.14
332,2172,156,8,6,2,8038,P,1950,1946 - 1960,17.62
333,2171,156,8,6,2,8038,P,1950,1946 - 1960,17.61
334,1799,160,6,5,2,8038,P,1950,1946 - 1960,14.59
335,1867,166,6,5,2,8038,P,1950,1946 - 1960,15.15
336,1856,165,6,5,2,8038,P,1950,1946 - 1960,15.06
337,2149,192,6,5,2,8038,P,1950,1946 - 1960,17.43
338,1914,171,6,5,2,8038,P,1950,1946 - 1960,15.53
339,2190,144,12,5,2,8038,P,1965,1961 - 1970,17.77
340,530,64,1,4,2,8038,P,1938,1919 - 1945,5.77
342,2282,198,6,5,9,8047,P,1938,1919 - 1945,103.85
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,7.9
346,424,73,1,4,10,8049,P,1936,1919 - 1945,7.5
347,856,83,1,4,10,8049,P,1933,1919 - 1945,7.5
348,461,63,1,4,6,8057,P,1913,1900 - 1919,7.5
349,1501,151,6,5,6,8057,P,1927,1919 - 1945,20.14
350,499,192,1,1,6,8057,F,1930,1919 - 1945,7.02
363,1955,246,4,4,7,8053,M,1946,1946 - 1960,15.0
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,37.5
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,46.15
369,420,58,1,4,7,8044,P,1935,1919 - 1945,12.5
370,551,76,5,4,7,8053,P,1965,1961 - 1970,93.14
371,780,112,2,4,7,8053,P,1965,1961 - 1970,131.86
372,1596,238,1,3,9,8048,P,1949,1946 - 1960,28.85
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,5.14
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,4.22
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,4.27
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,6.5
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,5.16
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,4.16
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,6.17
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,5.16
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,4.87
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,5.46
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,5.16
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,4.85
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,5.47
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,4.69
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,4.69
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,3.94
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,4.89
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,4.7
394,329,85,1,2,9,8048,P,1950,1946 - 1960,1.18
395,1162,175,4,3,9,8048,P,1949,1946 - 1960,4.16
396,1227,176,4,3,9,8048,P,1949,1946 - 1960,4.39
397,300,84,1,2,9,8048,P,1950,1946 - 1960,1.08
398,1164,174,4,3,9,8048,P,1949,1946 - 1960,4.16
399,1192,174,5,3,9,8048,P,1949,1946 - 1960,4.26
400,327,84,1,2,9,8048,P,1950,1946 - 1960,1.18
401,1143,175,4,3,9,8048,P,1949,1946 - 1960,4.09
402,1172,176,5,3,9,8048,P,1949,1946 - 1960,4.19
403,1168,175,4,3,9,8048,P,1949,1946 - 1960,4.18
404,1202,173,5,3,9,8048,P,1949,1946 - 1960,4.3
405,1801,179,6,4,9,8048,P,1950,1946 - 1960,6.41
406,1953,183,6,4,9,8048,P,1950,1946 - 1960,6.95
