,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,MINERAL
330,1754,155,6,5,2,8038,P,1950,1946 - 1960,1233.23
331,1743,154,6,5,2,8038,P,1950,1946 - 1960,1225.5
334,1799,160,6,5,2,8038,P,1950,1946 - 1960,1264.87
340,530,64,1,4,2,8038,P,1938,1919 - 1945,78.0
342,2282,198,6,5,9,8047,P,1938,1919 - 1945,230.0
343,1770,221,6,4,12,8051,P,1955,1946 - 1960,195.0
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,180.0
346,424,73,1,4,10,8049,P,1936,1919 - 1945,53.3
347,856,83,1,4,10,8049,P,1933,1919 - 1945,93.6
348,461,63,1,4,6,8057,P,1913,1900 - 1919,26.0
349,1501,151,6,5,6,8057,P,1927,1919 - 1945,349.05
350,499,192,1,1,6,8057,F,1930,1919 - 1945,121.71
351,1848,181,3,5,10,8037,P,1934,1919 - 1945,300.0
353,1226,126,2,5,12,8051,O,1932,1919 - 1945,650.0
363,1955,246,4,4,7,8053,M,1946,1946 - 1960,26.0
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,390.0
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,200.0
369,420,58,1,4,7,8044,P,1935,1919 - 1945,65.0
370,551,76,5,4,7,8053,P,1965,1961 - 1970,188.36
371,780,112,2,4,7,8053,P,1965,1961 - 1970,266.64
372,1596,238,1,3,9,8048,P,1949,1946 - 1960,300.0
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,342.5
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,281.34
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,284.6
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,433.61
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,344.13
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,277.05
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,411.06
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,344.13
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,324.57
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,363.68
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,344.13
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,323.56
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,364.7
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,312.96
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,312.55
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,262.56
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,325.8
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,313.36
394,329,85,1,2,9,8048,P,1950,1946 - 1960,62.95
395,1162,175,4,3,9,8048,P,1949,1946 - 1960,221.05
396,1227,176,4,3,9,8048,P,1949,1946 - 1960,233.31
397,300,84,1,2,9,8048,P,1950,1946 - 1960,57.42
398,1164,174,4,3,9,8048,P,1949,1946 - 1960,221.43
399,1192,174,5,3,9,8048,P,1949,1946 - 1960,226.71
400,327,84,1,2,9,8048,P,1950,1946 - 1960,62.57
401,1143,175,4,3,9,8048,P,1949,1946 - 1960,217.47
402,1172,176,5,3,9,8048,P,1949,1946 - 1960,222.94
403,1168,175,4,3,9,8048,P,1949,1946 - 1960,222.18
404,1202,173,5,3,9,8048,P,1949,1946 - 1960,228.6
405,1801,179,6,4,9,8048,P,1950,1946 - 1960,341.08
406,1953,183,6,4,9,8048,P,1950,1946 - 1960,369.48
