I_G,KS_G,I_ME,KS_ME,I_MI,KS_MI,I_W,KS_W,I_Z,KS_Z
134,0.296650718,162,0.255593804,1,0.239266651,88,0.238695827,63,0.288372093
167,0.296650718,26,0.256024096,163,0.242631701,152,0.239903395,27,0.290697674
122,0.296969697,61,0.256024096,9,0.242747737,46,0.241647659,54,0.290697674
43,0.298564593,146,0.259466437,93,0.245996751,158,0.241647659,34,0.291860465
60,0.300478469,180,0.25989673,52,0.246112787,86,0.245538709,153,0.291860465
188,0.300478469,32,0.260470453,79,0.249825946,52,0.246075406,79,0.293023256
71,0.300797448,25,0.262621916,137,0.253190996,153,0.246075406,19,0.294186047
93,0.303987241,199,0.264056225,183,0.256672082,39,0.246612103,114,0.294186047
92,0.304625199,179,0.265347103,39,0.256904154,66,0.246612103,190,0.296511628
144,0.304625199,66,0.265490534,192,0.259805059,26,0.247551322,182,0.302325581
39,0.304944179,136,0.265777395,35,0.26038524,102,0.248356367,107,0.304651163
189,0.307814992,22,0.266351119,169,0.262938037,113,0.250368979,121,0.306976744
68,0.308452951,111,0.26663798,82,0.263286145,195,0.256004294,105,0.309302326
127,0.310685805,139,0.267211704,130,0.263518218,124,0.257211861,88,0.312790698
74,0.311004785,93,0.267928858,78,0.264562544,146,0.258285254,148,0.312790698
159,0.311004785,118,0.271084337,118,0.266999304,28,0.258956125,21,0.318604651
30,0.31291866,29,0.271658061,68,0.267811557,194,0.263383872,13,0.319767442
29,0.314513557,164,0.274239816,103,0.267811557,76,0.264993962,14,0.322093023
83,0.314513557,13,0.277538726,49,0.268159666,96,0.264993962,74,0.324418605
154,0.315151515,91,0.278255881,71,0.27048039,148,0.267811619,144,0.324418605
86,0.318660287,72,0.280120482,141,0.270828498,136,0.270495103,64,0.325581395
78,0.320574163,154,0.282702238,45,0.274193548,97,0.272776063,126,0.331395349
80,0.326315789,15,0.286861733,74,0.274193548,151,0.273849457,149,0.33255814
169,0.328548644,68,0.287578887,88,0.275005802,16,0.274520327,156,0.337209302
32,0.33046252,73,0.287722318,181,0.277442562,75,0.275459546,32,0.344186047
190,0.33046252,80,0.287722318,142,0.278602924,11,0.279484771,15,0.346511628
17,0.330781499,119,0.287722318,188,0.284984915,67,0.279887294,41,0.347674419
104,0.33460925,33,0.291738382,175,0.288233929,167,0.280960687,125,0.347674419
82,0.340350877,78,0.297905909,24,0.288698074,87,0.282839125,157,0.347674419
119,0.340350877,194,0.301921974,117,0.296240427,60,0.289413659,51,0.354651163
130,0.352791069,178,0.305507745,198,0.310977025,94,0.292231316,4,0.375581395
162,0.35661882,97,0.30636833,170,0.324089116,163,0.296659063,56,0.393023256
197,0.36523126,152,0.30636833,51,0.334996519,89,0.302696901,175,0.397674419
55,0.36937799,177,0.327309237,90,0.335692736,104,0.324969811,62,0.405813953
25,0.372886762,27,0.331899025,22,0.338825714,58,0.34107071,76,0.431395349
126,0.385645933,124,0.335915089,113,0.350661406,91,0.34107071,80,0.451162791
101,0.445614035,113,0.365318417,193,0.370967742,41,0.350597075,199,0.491860465
